pdb_id,cid,target,species,affinity,affinity_type,tanimoto
5LIH,157395,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),4000,IC50,na
5LIH,157395,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),8000,IC50,na
5LIH,157395,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),11000,IC50,na
2WPI,157395,Coagulation factor X,Homo sapiens (Human),690,Ki,1.00000
7TPQ,157395,Prothrombin,Bos taurus (Bovine),59,IC50,1.00000
6C6P,157395,Squalene monooxygenase,Rattus norvegicus,30000,IC50,0.99714
6C6P,157395,Squalene monooxygenase,Rattus norvegicus,32000,IC50,1.00000
2WPI,157395,Coagulation factor X,Homo sapiens (Human),450,Ki,1.00000
2WPI,157395,Coagulation factor X,Homo sapiens (Human),720,IC50,1.00000
7TPQ,157395,Prothrombin,Bos taurus (Bovine),980,Ki,1.00000
7TPQ,157395,Prothrombin,Bos taurus (Bovine),830,Ki,1.00000
7TPQ,157395,Prothrombin,Bos taurus (Bovine),26,IC50,1.00000
3P56,1203,Ribonuclease HI,Escherichia coli (strain K12),>20000,IC50,1.00000
1N8S,1203,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),341000,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),25900,Kd,1.00000
3DA2,1203,Carbonic anhydrase 13,Homo sapiens (Human),10510,Ki,1.00000
2J8T,1203,Aldo-keto reductase family 1 member B1,Rattus norvegicus,>30000,IC50,1.00000
3LXE,1203,Carbonic anhydrase 4,Homo sapiens (Human),4900,Ki,1.00000
2JFD,1203,Fatty acid synthase,Homo sapiens (Human),>1000000,IC50,1.00000
1PQ3,1203,Arginase,Leishmania amazonensis,1600,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),25100,Kd,1.00000
3FW3,1203,Carbonic anhydrase 6,Homo sapiens (Human),4.36e+3,Ki,1.00000
1M9R,1203,"Nitric oxide synthase, endothelial",Bos taurus (bovine),1.000000,EC50,0.93182
5L60,1203,Proteasome subunit beta type-5,Homo sapiens (Human),1200000,IC50,1.00000
1M9R,1203,"Nitric oxide synthase, endothelial",Bos taurus (bovine),2.0,EC50,1.00000
1PQ3,1203,Arginase,Leishmania amazonensis,200,Ki,1.00000
7TPQ,1203,Prothrombin,Homo sapiens (Human),5.2,Kd,1.00000
1TZN,1203,Anthrax toxin receptor 2,Homo sapiens,>300000,IC50,1.00000
4JGD,1203,Dihydroorotate dehydrogenase (fumarate),Leishmania major,98300,IC50,1.00000
5UDY,1203,Intestinal-type alkaline phosphatase 1,Rattus norvegicus (Rat),1360,IC50,1.00000
2CAB,1203,Carbonic anhydrase 1,Homo sapiens (Human),2420,Ki,1.00000
1N8S,1203,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),18800,IC50,na
2KES,1203,Alpha-synuclein,Homo sapiens (Human),800,IC50,1.00000
5V6A,1203,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),100000,IC50,na
2GLQ,1203,"Alkaline phosphatase, tissue-nonspecific isozyme",Homo sapiens (Human),37100,IC50,1.00000
1KN0,1203,DNA repair protein RAD52 homolog,Homo sapiens,1800,IC50,1.00000
6C5Z,1203,Glucose-6-phosphate 1-dehydrogenase,Saccharomyces cerevisiae S288c,>1000000,IC50,1.00000
2OHM,1203,Beta-secretase 1,Homo sapiens (Human),2500,IC50,1.00000
4Q0L,1203,Carbonic anhydrase 3,Bos taurus (Cattle),2200,Ki,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),40700,Kd,1.00000
1ZED,1203,"Alkaline phosphatase, germ cell type",Homo sapiens (Human),>100000,IC50,1.00000
6QNG,1203,Carbonic anhydrase 15,Mus musculus,7680,Ki,1.00000
6FE2,1203,Carbonic anhydrase 9,Homo sapiens (Human),5030,Ki,1.00000
4Q0L,1203,Carbonic anhydrase 3,Bos taurus (Cattle),8.93e+3,Ki,1.00000
6C0V,1203,ATP-dependent translocase ABCB1,Homo sapiens (Human),136,IC50,0.92760
7KJW,1203,Reverse transcriptase/RNaseH,Human immunodeficiency virus 1,>100000,IC50,1.00000
6KPC,1203,Cannabinoid receptor 2,Homo sapiens (Human),361300,Ki,1.00000
5V6A,1203,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),100000,IC50,na
2KES,1203,Alpha-synuclein,Homo sapiens (Human),10600,IC50,1.00000
3FW3,1203,Carbonic anhydrase 6,Homo sapiens (Human),4910,Ki,1.00000
5UDY,1203,Intestinal-type alkaline phosphatase,Homo sapiens (Human),>100000,IC50,1.00000
5MSB,1203,Carbonic anhydrase 12,Homo sapiens (Human),4720,Ki,1.00000
7TPQ,1203,Prothrombin,Homo sapiens (Human),4.9,Kd,1.00000
2JFD,1203,Fatty acid synthase,Homo sapiens (Human),>100000,IC50,1.00000
2VCY,1203,Enoyl-acyl-carrier protein reductase,Plasmodium falciparum,17.56,Ki,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),5300,IC50,1.00000
8D43,1203,Alpha-glucosidase MAL62,Saccharomyces cerevisiae,74989420933,IC50,na
7TPQ,1203,Prothrombin,Homo sapiens (Human),125000,IC50,1.00000
4Q0L,1203,Carbonic anhydrase 3,Homo sapiens (Human),3580,Ki,1.00000
7B7U,1203,DNA polymerase beta,Rattus norvegicus,18500,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Homo sapiens (Human),6400,IC50,0.90732
3DWW,1203,Prostaglandin G/H synthase 2,Homo sapiens (Human),69700,IC50,0.90732
2WAJ,1203,Mitogen-activated protein kinase 10,Homo sapiens (Human),8.95e+4,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Bos taurus,80000,IC50,1.00000
2J8T,1203,Aldo-keto reductase family 1 member B1,Rattus norvegicus,>30000,IC50,1.00000
6C5Z,1203,Glucose-6-phosphate 1-dehydrogenase,Saccharomyces cerevisiae S288c,>1000000,IC50,1.00000
4PXX,1203,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens (Human),4020,Ki,1.00000
5AUW,1203,Death-associated protein kinase 1,Homo sapiens (Human),>300000,IC50,1.00000
6C0V,1203,ATP-dependent translocase ABCB1,Homo sapiens (Human),155,IC50,0.92760
2WAJ,1203,Mitogen-activated protein kinase 14,Homo sapiens (Human),3.53e+3,IC50,1.00000
2J8T,1203,Aldo-keto reductase family 1 member B1,Rattus norvegicus,>30000,IC50,1.00000
6C5Z,1203,Glucose-6-phosphate 1-dehydrogenase,Saccharomyces cerevisiae S288c,>1000000,IC50,1.00000
1N8S,1203,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),45900,IC50,na
4DYO,1203,M18 aspartyl aminopeptidase,Plasmodium falciparum 3D7,1376,IC50,1.00000
2OHM,1203,Beta-secretase 1,Homo sapiens (Human),2400,IC50,1.00000
3TON,1203,Probable maltase-glucoamylase 2,Homo sapiens,53800,IC50,1.00000
2KES,1203,Alpha-synuclein,Homo sapiens (Human),8900,IC50,1.00000
4PXX,1203,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens (Human),4210,Ki,1.00000
1ZED,1203,"Alkaline phosphatase, germ cell type",Homo sapiens (Human),51300,EC50,1.00000
2GLQ,1203,"Alkaline phosphatase, tissue-nonspecific isozyme",Homo sapiens (Human),407,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),2000,IC50,1.00000
2WAJ,1203,Mitogen-activated protein kinase 10,Homo sapiens (Human),5.3e+3,IC50,1.00000
6Q6Q,1203,Xanthine dehydrogenase/oxidase,Homo sapiens (Human),>100000,IC50,1.00000
6Q6Q,1203,Xanthine dehydrogenase/oxidase,Homo sapiens (Human),>100000,IC50,1.00000
3LPO,1203,"Sucrase-isomaltase, intestinal",Rattus norvegicus (Rat),650000,IC50,1.00000
2CAB,1203,Carbonic anhydrase 2,Homo sapiens (Human),1.24e+3,Ki,1.00000
1TZN,1203,Anthrax toxin receptor 2,Homo sapiens,>300000,IC50,1.00000
1BY8,1203,Procathepsin L,Homo sapiens (Human),>59642,IC50,1.00000
5UDY,1203,Intestinal-type alkaline phosphatase,Homo sapiens (Human),>100000,EC50,1.00000
2JKV,1203,"6-phosphogluconate dehydrogenase, decarboxylating",Homo sapiens (Human),>1000000,IC50,1.00000
7TPQ,1203,Prothrombin,Homo sapiens (Human),150000,IC50,1.00000
4W9N,1203,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,Escherichia coli,>100000,IC50,1.00000
5UDY,1203,Intestinal-type alkaline phosphatase 1,Rattus norvegicus (Rat),15500,IC50,1.00000
6Q9T,1203,Carbonic anhydrase 14,Homo sapiens (Human),11550,Ki,1.00000
2JKV,1203,"6-phosphogluconate dehydrogenase, decarboxylating",Homo sapiens (Human),>1000000,IC50,1.00000
2F25,1203,Sialidase-2,Homo sapiens (Human),>1000000,IC50,1.00000
5LIH,1203,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),>100000,IC50,na
2WAJ,1203,Mitogen-activated protein kinase 14,Homo sapiens (Human),39160,IC50,0.98086
1N8S,1203,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),101900,IC50,na
1O0L,1203,Apoptosis regulator Bcl-2,Homo sapiens (Human),>1.000000,Ki,1.00000
1O0L,1203,Apoptosis regulator Bcl-2,Homo sapiens (Human),>1.000000,Ki,1.00000
4M6N,1203,Urease subunit beta,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),13,IC50,na
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),48700,Kd,1.00000
6C5Z,1203,Glucose-6-phosphate 1-dehydrogenase,Saccharomyces cerevisiae S288c,>1000000,IC50,1.00000
2OHM,1203,Beta-secretase 1,Homo sapiens (Human),23000,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),4100,IC50,1.00000
2CAB,1203,Carbonic anhydrase 2,Homo sapiens (Human),1840,Ki,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Homo sapiens (Human),95000,IC50,1.00000
1O0L,1203,Apoptosis regulator Bcl-2,Homo sapiens (Human),>1.000000,Ki,na
1O0L,1203,Apoptosis regulator Bcl-2,Homo sapiens (Human),>1.000000,Ki,1.00000
6Q6Q,1203,Xanthine dehydrogenase/oxidase,Homo sapiens (Human),>100000,IC50,1.00000
3LXE,1203,Carbonic anhydrase 4,Homo sapiens (Human),3.98e+3,Ki,1.00000
6KPC,1203,Cannabinoid receptor 1,Homo sapiens (Human),35700,Ki,1.00000
1PQ3,1203,Arginase,Leishmania amazonensis,1700,IC50,1.00000
3LPO,1203,"Sucrase-isomaltase, intestinal",Rattus norvegicus (Rat),310000,IC50,1.00000
1PQ3,1203,Arginase,Leishmania amazonensis,600,Ki,1.00000
2VCY,1203,Enoyl-acyl-carrier protein reductase,Plasmodium falciparum,7000,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Homo sapiens (Human),12000,IC50,0.98086
1N8S,1203,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),78700,IC50,na
2WAJ,1203,Mitogen-activated protein kinase 14,Homo sapiens (Human),6.76e+4,IC50,1.00000
6Q20,1203,Neuraminidase,Influenza A virus,>100000,IC50,na
2JKV,1203,"6-phosphogluconate dehydrogenase, decarboxylating",Homo sapiens (Human),>1000000,IC50,1.00000
2CAB,1203,Carbonic anhydrase 1,Homo sapiens (Human),2.32e+3,Ki,1.00000
4TMF,1203,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Homo sapiens (Human),>100000,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Ovis aries (Sheep),2500,IC50,1.00000
8D43,1203,Alpha-glucosidase MAL62,Saccharomyces cerevisiae,130016957803,IC50,na
2JKV,1203,"6-phosphogluconate dehydrogenase, decarboxylating",Homo sapiens (Human),>1000000,IC50,1.00000
3DWW,1203,Prostaglandin G/H synthase 1,Homo sapiens (Human),3300,IC50,0.98086
1N8S,1203,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),110300,IC50,na
6Q20,1203,Neuraminidase,Influenza A virus,>100000,IC50,1.00000
2FW4,1203,Carbonic anhydrase 7,Homo sapiens (Human),450,Ki,1.00000
2CS5,11776892,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),35700,IC50,1.00000
2CS5,11776892,Tyrosine-protein phosphatase non-receptor type 2,Homo sapiens (Human),45900,IC50,1.00000
3RZE,5281600,Histamine H1 receptor,RAT,>10000,Ki,0.95167
3U8H,5281600,"Phospholipase A2, membrane associated",Homo sapiens (Human),23800,IC50,0.95167
2XV7,5281600,Vascular endothelial growth factor A,Homo sapiens (Human),17,Kd,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),26400,IC50,na
1NUS,5281600,Probable nicotinate-nucleotide adenylyltransferase,Staphylococcus aureus subsp. aureus N315,29400,IC50,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),502,IC50,na
7E2Z,5281600,Alpha-1A adrenergic receptor,Homo sapiens (Human),>10000,Ki,0.95167
7BTS,5281600,Beta-2 adrenergic receptor,Rattus norvegicus,>10000,Ki,0.95167
6Q6Q,5281600,Xanthine dehydrogenase/oxidase,Bos taurus (Bovine),35300,IC50,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),13800,Ki,na
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),>10000,IC50,0.87879
7WKZ,5281600,5-hydroxytryptamine receptor 6,Homo sapiens (Human),>10000,Ki,0.95167
1YK8,5281600,Cathepsin K,Homo sapiens (Human),1850,IC50,0.95167
1YK8,5281600,Cathepsin K,Homo sapiens (Human),2530,IC50,0.93091
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),32000,IC50,na
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),29500,IC50,na
5TPT,5281600,Amyloid-beta precursor protein,Homo sapiens (Human),4900,IC50,0.93091
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),642,IC50,na
5TPT,5281600,Amyloid-beta precursor protein,Homo sapiens (Human),4800,IC50,0.95167
5FTJ,5281600,Transitional endoplasmic reticulum ATPase,Homo sapiens (Human),8984,IC50,0.95167
5FDO,5281600,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens (Human),1634.071095,IC50,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),35600,Ki,na
2A3R,5281600,D(3) dopamine receptor,Rattus norvegicus (Rat),1241.2,Ki,0.95167
1BQO,5281600,Matrix metalloproteinase-9,Homo sapiens (Human),2180,Kd,0.95167
2CS5,5281600,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),9600,IC50,0.87879
2ZKM,5281600,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",Bos taurus,29000,IC50,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),72300,IC50,na
6KUW,5281600,Alpha-2C adrenergic receptor,Homo sapiens (Human),>10000,Ki,0.95167
5IXC,5281600,Cytosolic phospholipase A2,Homo sapiens (Human),>100000,IC50,0.95167
6BQG,5281600,5-hydroxytryptamine receptor 2C,Homo sapiens (Human),2555,Ki,0.95167
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),1540,IC50,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),179,IC50,na
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),990,IC50,0.93091
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),8500,IC50,na
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),4210,IC50,0.90459
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),14700,IC50,na
1SLM,5281600,Stromelysin-1,Homo sapiens (Human),>100000,IC50,0.95167
5TPT,5281600,Amyloid-beta precursor protein,Homo sapiens (Human),4900,IC50,0.91103
7E32,5281600,5-hydroxytryptamine receptor 1D,Sus scrofa,4094,Ki,0.95167
5WIV,5281600,D(4) dopamine receptor,RAT,>10000,Ki,0.95167
4IAQ,5281600,D(1B) dopamine receptor,Homo sapiens (Human),>10000,Ki,0.95167
4IAQ,5281600,5-hydroxytryptamine receptor 1B,Homo sapiens (Human),4094,Ki,0.95167
7E32,5281600,5-hydroxytryptamine receptor 1D,Homo sapiens (Human),>10000,Ki,0.95167
6B73,5281600,Kappa-type opioid receptor,Homo sapiens (Human),>10000,Ki,0.95167
6WJC,5281600,Muscarinic acetylcholine receptor M1,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),10300,IC50,0.95167
8EA0,5281600,Muscarinic acetylcholine receptor M3,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),387,IC50,na
6OL9,5281600,Muscarinic acetylcholine receptor M5,Homo sapiens (Human),>10000,Ki,0.95167
1BQO,5281600,Matrix metalloproteinase-9,Homo sapiens (Human),2580,IC50,0.95167
7E2Z,5281600,D(1A) dopamine receptor,Homo sapiens (Human),>10000,Ki,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),72300,IC50,0.90141
7W6P,5281600,Alpha-2A adrenergic receptor,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),0.200000,IC50,0.95167
7UM4,5281600,5-hydroxytryptamine receptor 5A,Homo sapiens (Human),>10000,Ki,0.95167
2QMZ,5281600,Sodium-dependent dopamine transporter,BOVINE,877.4,Ki,0.95167
2CS5,5281600,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),7400,IC50,0.95167
5WIV,5281600,D(2) dopamine receptor,Rattus norvegicus (rat),>10000,Ki,0.95167
4RWA,5281600,Delta-type opioid receptor,Homo sapiens (Human),36,Ki,0.95167
4RWA,5281600,Delta-type opioid receptor,GUINEA PIG,37,Ki,0.95167
6D6U,5281600,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/gamma-2,Homo sapiens (Human),3600,EC50,0.95167
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),1400,IC50,0.91103
1QIB,5281600,72 kDa type IV collagenase,Homo sapiens (Human),30310,IC50,0.95167
7B6W,5281600,Alpha-1B adrenergic receptor,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),12500,IC50,na
6D6U,5281600,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/gamma-2,Homo sapiens (Human),281838293,IC50,0.95167
7BTS,5281600,Beta-1 adrenergic receptor,Rattus norvegicus (Rat),>10000,Ki,0.95167
7R0C,5281600,Vasopressin V2 receptor,Homo sapiens (Human),>10000,Ki,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),80400,Ki,0.90141
8EF5,5281600,Mu-type opioid receptor,Homo sapiens (Human),>10000,Ki,0.95167
6B19,5281600,Reverse transcriptase,Human immunodeficiency virus 1,119000,IC50,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),296,IC50,na
7WKZ,5281600,5-hydroxytryptamine receptor 7,Homo sapiens (Human),>10000,Ki,0.95167
1YK8,5281600,Cathepsin K,Homo sapiens (Human),1520,IC50,0.90141
7BB6,5281600,Vasopressin V1b receptor,Homo sapiens (Human),>10000,Ki,0.95167
7WKZ,5281600,5-hydroxytryptamine receptor 3A,Homo sapiens (Human),>10000,Ki,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),8300,IC50,na
5TPT,5281600,Amyloid-beta precursor protein,Homo sapiens (Human),4700,IC50,0.90141
1BML,5281600,Streptokinase A,Streptococcus pyogenes M1 GAS,150000,EC50,0.95167
5WZM,5281600,Group 10 secretory phospholipase A2,Homo sapiens (Human),>100000,IC50,0.95167
5TPT,5281600,Amyloid-beta precursor protein,Homo sapiens (Human),10100,IC50,0.90141
7EU8,5281600,"Glutamate receptor ionotropic, NMDA 1",RAT,>10000,Ki,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),30200,Ki,na
2ZKM,5281600,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",Homo sapiens (Human),29000,IC50,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),38400,IC50,na
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),2020,IC50,0.90141
6K41,5281600,Alpha-2B adrenergic receptor,Homo sapiens (Human),>10000,Ki,0.95167
2CS5,5281600,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),7800,Ki,0.95167
1BQO,5281600,Matrix metalloproteinase-9,Homo sapiens (Human),10330,IC50,0.90141
5WZM,5281600,Phospholipase A2,Rattus norvegicus,>100000,IC50,0.95167
1SLM,5281600,Stromelysin-1,Homo sapiens (Human),>100000,IC50,0.90141
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),12700,IC50,na
2OHM,5281600,Beta-secretase 1,Homo sapiens (Human),3010,IC50,0.90141
3HCD,5281600,Sodium-dependent noradrenaline transporter,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),250,IC50,na
7QNA,5281600,Gamma-aminobutyric acid receptor subunit alpha-1,Rattus norvegicus (Rat),6.17,Ki,0.95167
5ABW,5281600,Neutrophil elastase,Homo sapiens (Human),1270,IC50,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),13800,Ki,0.95167
5DSG,5281600,Muscarinic acetylcholine receptor M4,Homo sapiens (Human),>10000,Ki,0.95167
6B19,5281600,Reverse transcriptase,Human immunodeficiency virus 1,100000,IC50,na
2A3R,5281600,D(3) dopamine receptor,Homo sapiens (Human),1241,Ki,0.95167
3UON,5281600,Muscarinic acetylcholine receptor M2,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 2,Homo sapiens (Human),10300,IC50,na
7E2Z,5281600,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),>10000,Ki,0.95167
4ZZY,5281600,Poly [ADP-ribose] polymerase 1,Homo sapiens (Human),196,IC50,na
2CS5,5281600,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),10700,Ki,0.87879
1FZV,5281600,Placenta growth factor,Homo sapiens (Human),8.2,Kd,0.95167
6XBZ,5281600,Cyclin-dependent kinase 5 activator 1,Homo sapiens (Human),9290,IC50,0.87879
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),8300,IC50,0.95167
5V6A,5281600,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),8300,IC50,na
3B7T,5281600,M1 family aminopeptidase,Plasmodium falciparum (isolate FcB1 / Columbia),108390,IC50,0.95167
1QIB,5281600,72 kDa type IV collagenase,Homo sapiens (Human),>100000,IC50,0.90141
1QIB,1990,72 kDa type IV collagenase,Homo sapiens (Human),15000000,IC50,1.00000
2CAB,1990,Carbonic anhydrase 2,Homo sapiens (Human),47000,IC50,1.00000
3C0Z,1990,Histone deacetylase 1,Homo sapiens (Human),625000,IC50,1.00000
7PPZ,1990,Lethal factor,Bacillus anthracis,11400000,IC50,1.00000
3G5K,1990,Peptide deformylase,Staphylococcus aureus (strain Mu50 / ATCC 700699),>100000,IC50,1.00000
1SLM,1990,Stromelysin-1,Homo sapiens (Human),17000000,Kd,1.00000
6ACL,1990,Succinyl-diaminopimelate desuccinylase,Haemophilus influenzae,>1000000,IC50,1.00000
5NKS,1990,Urease,Canavalia ensiformis (Jack bean) (Horse bean),17300,IC50,1.00000
5NKS,1990,"Urease [D459Y,K653P]",Canavalia ensiformis (Jack bean),4.32e+4,IC50,1.00000
4M6N,1990,Urease subunit alpha,Helicobacter pylori,1.20e+5,IC50,1.00000
4M6N,1990,Urease subunit alpha,Helicobacter pylori ATCC43504,4.247e+4,IC50,1.00000
4RTA,1990,Urease subunit alpha [1-30],Escherichia coli,29200,IC50,1.00000
4M6N,1990,Urease subunit beta,Helicobacter pylori,17200,IC50,1.00000
4M6N,1990,Urease subunit beta,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),11000,IC50,1.00000
4M6N,1990,Urease subunit beta,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),96000,Ki,1.00000
2ZZC,6780,"Thioredoxin reductase 2, mitochondrial",Rattus norvegicus,>200000,IC50,0.98701
2ZZC,6780,"Thioredoxin reductase 1, cytoplasmic",Rattus norvegicus,>200000,IC50,0.98701
2WGP,6780,Dual specificity protein phosphatase 1,Mus musculus,>50000,IC50,1.00000
2Q7M,6780,5-lipoxygenase,Bos taurus,2000,IC50,0.98701
3OP3,6780,M-phase inducer phosphatase 2,Homo sapiens (Human),9510,IC50,1.00000
6BY9,6780,Histone-lysine N-methyltransferase EHMT1,Homo sapiens (Human),>100000,IC50,1.00000
6MM1,6780,Histone-lysine N-methyltransferase EHMT2,Homo sapiens (Human),>100000,IC50,1.00000
2WGP,6780,Dual specificity protein phosphatase 6,Rattus norvegicus,>50000,IC50,1.00000
3EQM,119034,Aromatase,Homo sapiens (Human),32000,IC50,0.94059
5NN5,119034,Lysosomal alpha-glucosidase,Homo sapiens (Human),4.4,IC50,0.94059
2CS5,119034,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),12800,IC50,0.96040
1MX1,119034,Liver carboxylesterase 1,Homo sapiens (Human),100,IC50,0.88073
1Z8D,119034,"Glycogen phosphorylase, muscle form",Oryctolagus cuniculus (rabbit),19000,IC50,0.94059
1Z8D,119034,"Glycogen phosphorylase, muscle form",Oryctolagus cuniculus (rabbit),213000,IC50,0.97030
3G4L,119034,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Homo sapiens (Human),6568,IC50,0.94059
2CS5,119034,Tyrosine-protein phosphatase non-receptor type 2,Homo sapiens (Human),11310,IC50,0.97030
1Z8D,119034,"Glycogen phosphorylase, muscle form",Oryctolagus cuniculus (rabbit),22100,IC50,0.93069
1Z8D,119034,"Glycogen phosphorylase, muscle form",Oryctolagus cuniculus (rabbit),8500,IC50,0.93069
4I5X,119034,Aldo-keto reductase family 1 member B10,Homo sapiens (Human),2000,Ki,0.94059
8D3F,119034,Signal transducer and activator of transcription 3,Homo sapiens (Human),>50000,IC50,0.93069
3DWW,119034,Prostaglandin G/H synthase 2,Homo sapiens (Human),>40000,IC50,0.96040
